Noticia,Categoría
El presidente anuncia reformas fiscales para el próximo trimestre,Política
El congreso aprueba una nueva ley sobre educación digital,Política
El ministro de Salud presenta su renuncia tras escándalo,Política
Se firma un acuerdo bilateral con Brasil sobre comercio,Política
El gobierno implementa reformas en el sector energético,Política
La oposición critica las nuevas políticas de vivienda,Política
Se convoca a elecciones extraordinarias en la región norte,Política
El alcalde inaugura un nuevo hospital en la ciudad,Política
Debate parlamentario sobre el presupuesto de 2025,Política
Nueva alianza política se forma entre liberales y conservadores,Política
El senado rechaza la propuesta de reforma tributaria,Política
Manifestación ciudadana exige cambios en política educativa,Política
El gabinete ministerial se reúne para discutir crisis económica,Política
Nuevo embajador es nombrado en Francia,Política
El tribunal constitucional revisa la ley de telecomunicaciones,Política
El primer ministro visita zona afectada por desastres naturales,Política
Comisión especial investiga casos de corrupción gubernamental,Política
Nueva secretaría de estado es creada para asuntos climáticos,Política
El parlamento europeo aprueba medidas contra la inflación,Política
Gobernador regional anuncia inversión en infraestructura rural,Política
Canciller se reúne con homólogo mexicano para negociar tratado,Política
Reforma constitucional es sometida a referéndum popular,Política
El consejo de ministros aprueba nueva estrategia de seguridad,Política
Diputados debaten proyecto de ley sobre derechos digitales,Política
Alcaldesa propone plan integral para combatir la pobreza urbana,Política
Ministro de Defensa anuncia modernización de las fuerzas armadas,Política
Cumbre regional aborda crisis migratoria en Centroamérica,Política
El gobierno declara estado de emergencia por sequía extrema,Política
Nueva coalición política busca reformar el sistema electoral,Política
Senadores aprueban presupuesto para investigación científica,Política
Presidente regional firma convenio de cooperación con China,Política
Comité parlamentario revisa casos de violencia de género,Política
El ejecutivo presenta plan nacional de desarrollo sostenible,Política
Ministerio de Trabajo anuncia nuevas políticas de empleo juvenil,Política
Diputados provinciales debaten reforma del código penal,Política
Gobierno local implementa programa de transparencia administrativa,Política
Nueva ley de protección ambiental entra en vigor,Política
Consejeros regionales aprueban plan de desarrollo turístico,Política
El presidente recibe a delegación de organismos internacionales,Política
Ministros de economía se reúnen para coordinar políticas fiscales,Política
Parlamento regional debate proyecto sobre energías renovables,Política
Nueva directiva europea sobre privacidad de datos,Política
El gobierno anuncia inversión millonaria en educación pública,Política
Comisión investigadora presenta informe sobre gasto público,Política
Alcaldes metropolitanos firman pacto contra la contaminación,Política
Senado aprueba tratado de extradición con Estados Unidos,Política
Gobierno regional lanza programa de apoyo a pequeñas empresas,Política
Nueva ley de ciberseguridad es debatida en el congreso,Política
El ministerio de cultura presenta estrategia de patrimonio histórico,Política
Diputados aprueban reforma al sistema de pensiones,Política
El vicepresidente regional anuncia plan de desarrollo rural,Política
Nueva comisión de transparencia fiscaliza contrataciones públicas,Política
Ministerio de comunicaciones moderniza infraestructura digital,Política
El gobierno central descentraliza políticas educativas,Política
Nueva ley de protección al consumidor entra en vigor,Política
Consejo de estado evalúa reformas constitucionales,Política
El ministerio de vivienda lanza programa habitacional masivo,Política
Nueva secretaría de innovación promueve transformación digital,Política
Alcalde regional firma pacto por la sostenibilidad ambiental,Política
El senado aprueba tratado de cooperación científica,Política
Nueva comisión de género investigará brecha salarial,Política
Gobierno provincial implementa presupuesto participativo,Política
El ministerio de deportes aumenta inversión en infraestructura,Política
Nueva ley de ciberdelitos actualiza marco legal,Política
Consejo nacional de seguridad evalúa amenazas híbridas,Política
El primer ministro anuncia política nacional de inteligencia artificial,Política
Nueva comisión de migración desarrolla políticas inclusivas,Política
Ministerio de energía impulsa transición hacia renovables,Política
El gobierno regional establece zona económica especial,Política
Nueva ley de gobierno abierto promueve transparencia,Política
